mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
25.391614580154418,0.11912533135864904,0.29166316986083984,0.018248884020835143,0.7998589070408956,307,"{'learning_rate': 0.7998589070408956, 'n_estimators': 307}",0.5557749259624877,0.5908193484698914,0.596248766041461,0.562685093780849,0.5459032576505429,0.5702862783810463,0.019791648688659836,407,0.5749012833168805,0.6148815399802566,0.6041461006910168,0.5899555774925962,0.5663869693978283,0.5900542941757158,0.017915004271935216
22.342508220672606,5.458233063383091,0.23900218009948732,0.06936286725763745,0.8337421536399743,323,"{'learning_rate': 0.8337421536399743, 'n_estimators': 323}",0.5508390918065152,0.5370187561697927,0.5977295162882527,0.5375123395853899,0.5394866732477789,0.552517275419546,0.023160793664682443,478,0.5639190523198421,0.5820582428430404,0.5905725567620927,0.5650296150049359,0.5468904244817374,0.5696939782823296,0.015257117670484766
19.486128187179567,0.3333972572965372,0.21377029418945312,0.026777344494321006,0.6148047339746007,415,"{'learning_rate': 0.6148047339746007, 'n_estimators': 415}",0.5552813425468904,0.5646594274432379,0.5582428430404739,0.5330700888450148,0.571076011846002,0.5564659427443238,0.012903595953339361,464,0.5649062191510366,0.5835389930898321,0.5663869693978283,0.567127344521224,0.5779861796643633,0.5719891411648568,0.007410165040248552
9.52261562347412,0.10867868337183313,0.1100931167602539,0.016264044278543967,0.5880566075667341,205,"{'learning_rate': 0.5880566075667341, 'n_estimators': 205}",0.6293188548864758,0.6169792694965449,0.6209279368213229,0.6056268509378084,0.6140177690029615,0.6173741362290226,0.007806735999908221,244,0.6306762092793682,0.6352418558736427,0.6312931885488647,0.6188302073050346,0.607847976307996,0.6247778874629812,0.010086929903252292
22.925837326049805,0.0477003922084208,0.2693801403045654,0.02927239946742691,0.47504076458216515,493,"{'learning_rate': 0.47504076458216515, 'n_estimators': 493}",0.5750246791707798,0.5621915103652517,0.5483711747285291,0.567127344521224,0.5784797630799605,0.5662388943731491,0.01061560123101287,418,0.5820582428430404,0.5879812438302073,0.5570088845014808,0.5903257650542941,0.5781095755182626,0.5790967423494571,0.01185448240376367
20.31930317878723,0.18111082003324136,0.21554865837097167,0.025257069729263622,0.3818853188581415,437,"{'learning_rate': 0.3818853188581415, 'n_estimators': 437}",0.6184600197433366,0.5977295162882527,0.579466929911155,0.6110562685093781,0.5997038499506416,0.6012833168805528,0.013278769970194918,289,0.6306762092793682,0.6200641658440277,0.5861303060217177,0.6157453109575518,0.6079713721618953,0.6121174728529122,0.01492153361694146
18.43665256500244,0.0976762080217229,0.21164021492004395,0.01691905781602735,0.7175328613600828,392,"{'learning_rate': 0.7175328613600828, 'n_estimators': 392}",0.5404738400789734,0.5409674234945706,0.5636722606120435,0.5488647581441264,0.56071076011846,0.5509378084896348,0.009704407287221712,481,0.5719397828232972,0.5598469891411648,0.5672507403751234,0.567127344521224,0.5641658440276407,0.5660661401776901,0.00398291539673627
18.37985587120056,0.08972101770946149,0.19175305366516113,0.008542981633429411,0.576558769938067,385,"{'learning_rate': 0.576558769938067, 'n_estimators': 385}",0.5533070088845015,0.5779861796643633,0.5819348469891412,0.5592300098716683,0.558736426456071,0.5662388943731491,0.011463043132868568,418,0.5731737413622903,0.5906959526159921,0.5925468904244817,0.5887216189536032,0.5688548864758144,0.5827986179664364,0.00979330943762056
2.5413004398345946,0.03230062056997486,0.030040168762207033,0.0031892667089719177,0.33730815455099683,53,"{'learning_rate': 0.33730815455099683, 'n_estimators': 53}",0.6411648568608095,0.6614017769002961,0.6638696939782823,0.6535044422507403,0.6535044422507403,0.6546890424481737,0.007937950836317712,149,0.648938795656466,0.6668311944718658,0.6607847976307996,0.6630059230009872,0.6596742349457059,0.6598469891411649,0.005977558048351021
6.364819622039795,0.07246682472428231,0.0750208854675293,0.009682981872481677,0.44198498392157803,134,"{'learning_rate': 0.44198498392157803, 'n_estimators': 134}",0.6702862783810464,0.646594274432379,0.6786771964461994,0.6643632773938796,0.6702862783810464,0.6660414610069102,0.010739721831359645,93,0.667324777887463,0.6738647581441264,0.6838598223099703,0.6750987166831195,0.6746051332675223,0.6749506416584403,0.005269682028412873
13.96801037788391,0.12664252147318342,0.15518803596496583,0.02704843963718647,0.48136280749020877,290,"{'learning_rate': 0.48136280749020877, 'n_estimators': 290}",0.6006910167818361,0.6145113524185587,0.587857847976308,0.5997038499506416,0.6071076011846002,0.601974333662389,0.008827280910605372,288,0.6138943731490621,0.6457305034550839,0.5974827245804541,0.6187068114511353,0.6104392892398816,0.6172507403751235,0.01588491463024801
2.5540702819824217,0.03705973030801585,0.03213095664978027,0.0028509711395229664,0.35781714569498246,54,"{'learning_rate': 0.35781714569498246, 'n_estimators': 54}",0.6609081934846989,0.6426456071076012,0.6653504442250741,0.6539980256663376,0.6470878578479763,0.6539980256663376,0.008405422688018947,155,0.6612783810463968,0.6600444225074038,0.6620187561697927,0.668558736426456,0.6667077986179665,0.6637216189536033,0.003307745494129606
3.013335180282593,0.04935734147327304,0.03634223937988281,0.0014694344928737294,0.7528241000081474,62,"{'learning_rate': 0.7528241000081474, 'n_estimators': 62}",0.6707798617966436,0.6154985192497532,0.6535044422507403,0.6224086870681145,0.6535044422507403,0.6431391905231985,0.020845354768605825,192,0.6588104639684107,0.6361056268509379,0.6576999012833169,0.6407946692991116,0.660167818361303,0.6507156959526161,0.010154091789767146
