mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_min_child_samples,param_min_child_weight,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
4.857070207595825,0.19285366645057245,0.9162719249725342,0.10490021106676767,0.957931407341758,0.14798891436244344,457,0.008557504687892561,410,135,0.593905100504062,0.6546088499394438,0.8947327855022912,"{'colsample_bytree': 0.957931407341758, 'learning_rate': 0.14798891436244344, 'min_child_samples': 457, 'min_child_weight': 0.008557504687892561, 'n_estimators': 410, 'num_leaves': 135, 'reg_alpha': 0.593905100504062, 'reg_lambda': 0.6546088499394438, 'subsample': 0.8947327855022912}",0.8558736426456071,0.8558736426456071,0.857847976307996,0.8632773938795657,0.8613030602171767,0.8588351431391905,0.0029779078240865886,258,1.0,0.9998766041461007,0.9998766041461007,0.9998766041461007,1.0,0.9999259624876604,6.045137568566665e-05
3.5348331451416017,0.09590353056730783,0.5357912540435791,0.02103338961812991,0.7676967674304089,0.1197306578497946,438,0.00043063308326785846,317,73,0.6499012319862668,0.37227264404505983,0.9335210168715294,"{'colsample_bytree': 0.7676967674304089, 'learning_rate': 0.1197306578497946, 'min_child_samples': 438, 'min_child_weight': 0.00043063308326785846, 'n_estimators': 317, 'num_leaves': 73, 'reg_alpha': 0.6499012319862668, 'reg_lambda': 0.37227264404505983, 'subsample': 0.9335210168715294}",0.8573543928923988,0.8484698914116485,0.8568608094768015,0.8667324777887463,0.8647581441263573,0.8588351431391905,0.006495827789284156,258,0.998025666337611,0.9967917077986179,0.998025666337611,0.998025666337611,0.9976554787759131,0.9977048371174728,0.0004785468763491015
1.8269524097442627,0.03537623827506598,0.1526695728302002,0.0121607134337953,0.6551286221305597,0.024850666743911676,20,0.00334658941417462,77,47,0.4590196133500141,0.6858679287504249,0.996998505485779,"{'colsample_bytree': 0.6551286221305597, 'learning_rate': 0.024850666743911676, 'min_child_samples': 20, 'min_child_weight': 0.00334658941417462, 'n_estimators': 77, 'num_leaves': 47, 'reg_alpha': 0.4590196133500141, 'reg_lambda': 0.6858679287504249, 'subsample': 0.996998505485779}",0.8435340572556762,0.8267522211253702,0.8381046396841066,0.8464955577492597,0.8435340572556762,0.8396841066140178,0.007010969755010755,428,0.9344768015794669,0.9321322803553801,0.934106614017769,0.933736426456071,0.932872655478776,0.9334649555774925,0.0008527715964052431
1.269374942779541,0.06941949529199287,0.17561206817626954,0.008235369062540377,0.6062056232493445,0.2974894547758782,277,0.008712765129695923,91,136,0.3021074899194223,0.8127735491539001,0.9501615916275031,"{'colsample_bytree': 0.6062056232493445, 'learning_rate': 0.2974894547758782, 'min_child_samples': 277, 'min_child_weight': 0.008712765129695923, 'n_estimators': 91, 'num_leaves': 136, 'reg_alpha': 0.3021074899194223, 'reg_lambda': 0.8127735491539001, 'subsample': 0.9501615916275031}",0.8524185587364265,0.8489634748272458,0.8479763079960513,0.8613030602171767,0.8509378084896347,0.8523198420533069,0.004748672643950941,374,0.9993830207305034,0.9993830207305034,0.9990128331688055,0.9992596248766041,0.9998766041461007,0.9993830207305034,0.0002813858403502355
4.749364757537842,0.15044036586369616,0.8971872806549073,0.14295267838349407,0.648507454794542,0.1875935908052941,248,0.0008311710354274638,464,106,0.25774887214167624,0.2333231373392613,0.7779115017774032,"{'colsample_bytree': 0.648507454794542, 'learning_rate': 0.1875935908052941, 'min_child_samples': 248, 'min_child_weight': 0.0008311710354274638, 'n_estimators': 464, 'num_leaves': 106, 'reg_alpha': 0.25774887214167624, 'reg_lambda': 0.2333231373392613, 'subsample': 0.7779115017774032}",0.8711747285291214,0.8608094768015795,0.866238894373149,0.866238894373149,0.8642645607107601,0.8657453109575519,0.003362169075207561,72,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4.962786054611206,0.10525257832141163,1.1594388008117675,0.23999743873227372,0.6144025438340186,0.04127037810427947,270,0.0017964103717113145,372,112,0.9644397319063548,0.3748811852878737,0.5250380458408055,"{'colsample_bytree': 0.6144025438340186, 'learning_rate': 0.04127037810427947, 'min_child_samples': 270, 'min_child_weight': 0.0017964103717113145, 'n_estimators': 372, 'num_leaves': 112, 'reg_alpha': 0.9644397319063548, 'reg_lambda': 0.3748811852878737, 'subsample': 0.5250380458408055}",0.8538993089832182,0.8420533070088845,0.8464955577492597,0.857847976307996,0.8499506416584403,0.8500493583415597,0.0055175473297066615,387,0.9834649555774926,0.9806268509378084,0.9809970384995064,0.9809970384995064,0.9821076011846002,0.9816386969397828,0.0010394590172089332
2.853242826461792,0.08726939797656491,0.35337319374084475,0.021787913881783322,0.877598437750193,0.2587186593942219,146,0.0036923537388434927,247,116,0.6516308670238609,0.9302614610762346,0.5622728244114128,"{'colsample_bytree': 0.877598437750193, 'learning_rate': 0.2587186593942219, 'min_child_samples': 146, 'min_child_weight': 0.0036923537388434927, 'n_estimators': 247, 'num_leaves': 116, 'reg_alpha': 0.6516308670238609, 'reg_lambda': 0.9302614610762346, 'subsample': 0.5622728244114128}",0.8667324777887463,0.8573543928923988,0.859822309970385,0.8622902270483712,0.8627838104639685,0.861796643632774,0.003137265267931047,184,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.284679317474365,0.07503945553648599,0.5181154727935791,0.01158667225274147,0.8422709523866381,0.23137464605719718,423,0.004343813046081161,286,78,0.7779834896577675,0.9668347333039408,0.6108664431536566,"{'colsample_bytree': 0.8422709523866381, 'learning_rate': 0.23137464605719718, 'min_child_samples': 423, 'min_child_weight': 0.004343813046081161, 'n_estimators': 286, 'num_leaves': 78, 'reg_alpha': 0.7779834896577675, 'reg_lambda': 0.9668347333039408, 'subsample': 0.6108664431536566}",0.8622902270483712,0.8484698914116485,0.8548864758144127,0.8652517275419546,0.8543928923988154,0.8570582428430404,0.006001454749682399,300,1.0,0.9998766041461007,1.0,1.0,1.0,0.9999753208292201,4.935834155972429e-05
5.101087951660157,0.10688482875325042,0.8292711734771728,0.09801179581237651,0.7131692188039493,0.15207960102194776,126,0.006620486311235841,432,136,0.41857195147367315,0.7132056108356599,0.6121655129035777,"{'colsample_bytree': 0.7131692188039493, 'learning_rate': 0.15207960102194776, 'min_child_samples': 126, 'min_child_weight': 0.006620486311235841, 'n_estimators': 432, 'num_leaves': 136, 'reg_alpha': 0.41857195147367315, 'reg_lambda': 0.7132056108356599, 'subsample': 0.6121655129035777}",0.8672260612043435,0.861796643632774,0.8657453109575518,0.8622902270483712,0.8647581441263573,0.8643632773938796,0.002056531752813371,111,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.643518304824829,0.05450910014519608,0.40198311805725095,0.006858963610935194,0.6591753728445784,0.03827548141519166,393,0.009597782476628363,240,33,0.39952351311247386,0.28548316048685335,0.7144427471666425,"{'colsample_bytree': 0.6591753728445784, 'learning_rate': 0.03827548141519166, 'min_child_samples': 393, 'min_child_weight': 0.009597782476628363, 'n_estimators': 240, 'num_leaves': 33, 'reg_alpha': 0.39952351311247386, 'reg_lambda': 0.28548316048685335, 'subsample': 0.7144427471666425}",0.8277393879565647,0.8228035538005923,0.8302073050345509,0.8361303060217177,0.8381046396841066,0.8309970384995063,0.005572029927609113,454,0.9084402764067128,0.9104146100691016,0.9109081934846989,0.9110315893385982,0.9084402764067128,0.909846989141165,0.0011669881952158455
