mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__criterion,param_estimator__max_depth,param_estimator__max_features,param_estimator__splitter,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4386463642120361,0.00990433873523204,0.03026266098022461,0.004250244516854267,entropy,11,log2,random,0.4456700374453521,100,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 11, 'estimator__max_features': 'log2', 'estimator__splitter': 'random', 'learning_rate': 0.4456700374453521, 'n_estimators': 100}",0.7976878612716763,0.7872648335745297,0.7959479015918958,0.8017366136034733,0.788712011577424,0.7942698443237999,0.00548107726566472,294,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.8277114868164063,0.07522140962858792,0.02903776168823242,0.010354498652395154,gini,9,,random,0.10879267773768851,83,"{'estimator__criterion': 'gini', 'estimator__max_depth': 9, 'estimator__max_features': None, 'estimator__splitter': 'random', 'learning_rate': 0.10879267773768851, 'n_estimators': 83}",0.7933526011560693,0.8002894356005789,0.8335745296671491,0.8133140376266281,0.7959479015918958,0.8072957011284643,0.014826109074064616,139,0.9301736613603473,0.9175406871609403,0.9092224231464738,0.9146473779385171,0.925497287522604,0.9194162874257765,0.007521634119548325
2.318488597869873,0.09808135874136906,0.07153196334838867,0.017019369449755663,gini,10,,random,0.32089852318869094,135,"{'estimator__criterion': 'gini', 'estimator__max_depth': 10, 'estimator__max_features': None, 'estimator__splitter': 'random', 'learning_rate': 0.32089852318869094, 'n_estimators': 135}",0.815028901734104,0.7916063675832128,0.8321273516642547,0.8104196816208393,0.8191027496382055,0.8136570104481233,0.013186377928446165,85,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.556972026824951,0.38892269688774594,0.018166780471801758,0.0018890208700829158,entropy,10,,best,0.48513270338068437,63,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 10, 'estimator__max_features': None, 'estimator__splitter': 'best', 'learning_rate': 0.48513270338068437, 'n_estimators': 63}",0.8092485549132948,0.8306801736613604,0.8408104196816208,0.8408104196816208,0.8321273516642547,0.8307353839204303,0.01154674962344788,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.41319546699523924,0.04262609490986249,0.0291748046875,0.010038008174417795,gini,8,log2,random,0.33592113343532193,125,"{'estimator__criterion': 'gini', 'estimator__max_depth': 8, 'estimator__max_features': 'log2', 'estimator__splitter': 'random', 'learning_rate': 0.33592113343532193, 'n_estimators': 125}",0.7803468208092486,0.7872648335745297,0.8002894356005789,0.8002894356005789,0.7756874095513748,0.7887755870272622,0.010097170727800227,382,0.9301736613603473,0.9273056057866185,0.9132007233273056,0.9124773960216999,0.9215189873417722,0.9209352747675487,0.007178142146280996
0.7266847610473632,0.02380535180894629,0.02032623291015625,0.0047422358766546074,gini,10,log2,best,0.48673111720162404,85,"{'estimator__criterion': 'gini', 'estimator__max_depth': 10, 'estimator__max_features': 'log2', 'estimator__splitter': 'best', 'learning_rate': 0.48673111720162404, 'n_estimators': 85}",0.7789017341040463,0.7800289435600579,0.8031837916063675,0.7858176555716353,0.8002894356005789,0.7896443120885371,0.010189580501571751,367,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.21980924606323243,0.010417623239046553,0.01625800132751465,0.0031278181097821665,entropy,10,log2,random,0.4706278096495261,68,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 10, 'estimator__max_features': 'log2', 'estimator__splitter': 'random', 'learning_rate': 0.4706278096495261, 'n_estimators': 68}",0.7745664739884393,0.7612156295224313,0.7973950795947902,0.7713458755426917,0.768451519536903,0.7745949156370511,0.012224165898269603,491,0.9844428364688856,0.9779385171790235,0.9732368896925859,0.9598553345388788,0.9898734177215189,0.9770693991201785,0.01029638756847015
0.2476818084716797,0.01881783697189498,0.019547653198242188,0.0017003629180545852,entropy,12,log2,random,0.38617234267109496,72,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 12, 'estimator__max_features': 'log2', 'estimator__splitter': 'random', 'learning_rate': 0.38617234267109496, 'n_estimators': 72}",0.7528901734104047,0.7800289435600579,0.7988422575976846,0.7756874095513748,0.7785817655571635,0.7772061099353371,0.01463936421891615,481,1.0,1.0,1.0,0.9996383363471971,0.9996383363471971,0.9998553345388789,0.00017717828157562992
0.6159013271331787,0.02368614922843474,0.013373804092407227,0.0028682484835491355,entropy,9,sqrt,best,0.1781603179782209,52,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 9, 'estimator__max_features': 'sqrt', 'estimator__splitter': 'best', 'learning_rate': 0.1781603179782209, 'n_estimators': 52}",0.7976878612716763,0.7988422575976846,0.8234442836468886,0.8031837916063675,0.8075253256150506,0.8061367039475336,0.009325150578857657,151,0.9359623733719248,0.9399638336347197,0.9298372513562387,0.9305605786618445,0.9461121157323689,0.9364872305514194,0.0060720356507629
0.33118610382080077,0.03704408672702288,0.016559314727783204,0.004484384619438023,entropy,10,sqrt,random,0.3435265699479577,90,"{'estimator__criterion': 'entropy', 'estimator__max_depth': 10, 'estimator__max_features': 'sqrt', 'estimator__splitter': 'random', 'learning_rate': 0.3435265699479577, 'n_estimators': 90}",0.7803468208092486,0.7829232995658466,0.808972503617945,0.7901591895803184,0.7973950795947902,0.7919593786336299,0.010380136525523938,326,0.9887843704775687,0.9793851717902351,0.9866184448462929,0.9772151898734177,0.9848101265822785,0.9833626607139585,0.004374975208861875
