mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bynode,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
5.901978158950806,0.17029011676289685,0.13691558837890624,0.00987989550313751,0.6936519661172889,0.7479693786080452,0.9807657041802013,0.11346111587101615,0.11499702039021976,49,126,1.4543244949944933,1.5467134426066833,0.7272144777990821,"{'colsample_bylevel': 0.6936519661172889, 'colsample_bynode': 0.7479693786080452, 'colsample_bytree': 0.9807657041802013, 'gamma': 0.11346111587101615, 'learning_rate': 0.11499702039021976, 'max_depth': 49, 'n_estimators': 126, 'reg_alpha': 1.4543244949944933, 'reg_lambda': 1.5467134426066833, 'subsample': 0.7272144777990821}",0.859822309970385,0.8499506416584403,0.8553800592300099,0.8652517275419546,0.859822309970385,0.8580454096742349,0.005116153413563643,48,0.9956811451135242,0.9954343534057256,0.9962981243830207,0.9962981243830207,0.9961747285291214,0.9959772951628825,0.0003542127367819693
3.71940541267395,0.07269169851288806,0.1069596290588379,0.01077307516447911,0.6477955519049498,0.6191246040055096,0.8832874303390754,0.5257173750746231,0.08425860979032368,47,118,0.8464045034102996,1.7098423280487807,0.6424800062794156,"{'colsample_bylevel': 0.6477955519049498, 'colsample_bynode': 0.6191246040055096, 'colsample_bytree': 0.8832874303390754, 'gamma': 0.5257173750746231, 'learning_rate': 0.08425860979032368, 'max_depth': 47, 'n_estimators': 118, 'reg_alpha': 0.8464045034102996, 'reg_lambda': 1.7098423280487807, 'subsample': 0.6424800062794156}",0.8420533070088845,0.8376110562685094,0.8400789733464955,0.8543928923988154,0.8524185587364265,0.8453109575518262,0.006786368111469796,209,0.9666831194471865,0.9665597235932872,0.9661895360315893,0.9674234945705824,0.9664363277393879,0.9666584402764066,0.0004159007785378321
3.0418708324432373,0.07097628786766831,0.0657264232635498,0.0022218245198144127,0.889234753552802,0.9303059839733908,0.762490899741336,1.344202658658771,0.10149603095502985,38,108,0.10683884760573337,0.7718306225048615,0.9914793802796311,"{'colsample_bylevel': 0.889234753552802, 'colsample_bynode': 0.9303059839733908, 'colsample_bytree': 0.762490899741336, 'gamma': 1.344202658658771, 'learning_rate': 0.10149603095502985, 'max_depth': 38, 'n_estimators': 108, 'reg_alpha': 0.10683884760573337, 'reg_lambda': 0.7718306225048615, 'subsample': 0.9914793802796311}",0.8499506416584403,0.843040473840079,0.8509378084896347,0.8627838104639685,0.8548864758144127,0.852319842053307,0.006476295939528839,115,0.96964461994077,0.9690276406712734,0.9695212240868707,0.9689042448173741,0.9695212240868707,0.9693237907206317,0.0002981995551232661
3.255273771286011,0.07489965945232435,0.08191542625427246,0.0047904727070664935,0.7195536325220986,0.8718135433164691,0.767134144807683,1.3823608068741715,0.06933529124703727,31,122,0.835474781334701,0.33913876962090406,0.858967154188786,"{'colsample_bylevel': 0.7195536325220986, 'colsample_bynode': 0.8718135433164691, 'colsample_bytree': 0.767134144807683, 'gamma': 1.3823608068741715, 'learning_rate': 0.06933529124703727, 'max_depth': 31, 'n_estimators': 122, 'reg_alpha': 0.835474781334701, 'reg_lambda': 0.33913876962090406, 'subsample': 0.858967154188786}",0.849457058242843,0.8307008884501481,0.8331688055281342,0.8464955577492597,0.8445212240868707,0.840868706811451,0.007502467917077984,285,0.9438548864758144,0.9423741362290227,0.9436080947680158,0.9415103652517275,0.944101678183613,0.9430898321816386,0.0009884000194719186
2.574215793609619,0.1223967215890617,0.06951718330383301,0.009270469137111974,0.9052058232806408,0.8157957657112889,0.8239015643462765,1.6556792579501483,0.06214303892544237,43,70,1.468079074601246,1.2087075749131722,0.6625456089143277,"{'colsample_bylevel': 0.9052058232806408, 'colsample_bynode': 0.8157957657112889, 'colsample_bytree': 0.8239015643462765, 'gamma': 1.6556792579501483, 'learning_rate': 0.06214303892544237, 'max_depth': 43, 'n_estimators': 70, 'reg_alpha': 1.468079074601246, 'reg_lambda': 1.2087075749131722, 'subsample': 0.6625456089143277}",0.8297137216189536,0.8099703849950641,0.815893385982231,0.8277393879565647,0.8232971372161896,0.8213228035538007,0.007400459946294704,483,0.8967176702862784,0.898568608094768,0.8932625863770978,0.8922754195459033,0.8943731490621916,0.8950394866732478,0.0023027134344381613
3.878092813491821,0.0638330771627777,0.09567561149597167,0.0049565175538501685,0.7904803846452655,0.7627104922040868,0.6511551373319274,0.20579791905050748,0.1389993249829815,25,94,0.7258693534710807,1.151090456175193,0.8015906941407116,"{'colsample_bylevel': 0.7904803846452655, 'colsample_bynode': 0.7627104922040868, 'colsample_bytree': 0.6511551373319274, 'gamma': 0.20579791905050748, 'learning_rate': 0.1389993249829815, 'max_depth': 25, 'n_estimators': 94, 'reg_alpha': 0.7258693534710807, 'reg_lambda': 1.151090456175193, 'subsample': 0.8015906941407116}",0.8627838104639685,0.8538993089832182,0.8499506416584403,0.8583415597235933,0.8593287265547878,0.8568608094768015,0.0044695879260303285,61,0.9969151036525172,0.9967917077986179,0.9969151036525172,0.9965449160908193,0.99642152023692,0.9967176702862783,0.0002004945312101697
2.3813689231872557,0.045716700760850604,0.05467901229858398,0.00506366882724299,0.6789957435317482,0.6843767604022729,0.9915751561091684,1.552513518562743,0.1316852864702758,25,112,0.7465165364808302,1.2030696111448747,0.621647838046274,"{'colsample_bylevel': 0.6789957435317482, 'colsample_bynode': 0.6843767604022729, 'colsample_bytree': 0.9915751561091684, 'gamma': 1.552513518562743, 'learning_rate': 0.1316852864702758, 'max_depth': 25, 'n_estimators': 112, 'reg_alpha': 0.7465165364808302, 'reg_lambda': 1.2030696111448747, 'subsample': 0.621647838046274}",0.8287265547877591,0.8173741362290227,0.8247778874629812,0.8316880552813426,0.8331688055281342,0.827147087857848,0.005665684048285011,438,0.9107847976307996,0.9168311944718658,0.9133761105626851,0.9178183613030603,0.9131293188548865,0.9143879565646594,0.002581776274555223
3.8929893493652346,0.12733417941475556,0.09877734184265137,0.010476181341281908,0.7535054123528832,0.8725823360139368,0.7709285794115762,0.3453820101887837,0.09241265119417766,45,67,0.6385424449004311,0.4473335544342998,0.6621068053826572,"{'colsample_bylevel': 0.7535054123528832, 'colsample_bynode': 0.8725823360139368, 'colsample_bytree': 0.7709285794115762, 'gamma': 0.3453820101887837, 'learning_rate': 0.09241265119417766, 'max_depth': 45, 'n_estimators': 67, 'reg_alpha': 0.6385424449004311, 'reg_lambda': 0.4473335544342998, 'subsample': 0.6621068053826572}",0.8622902270483712,0.8460019743336624,0.8509378084896347,0.857847976307996,0.8563672260612043,0.8546890424481737,0.005658799860993685,91,0.9875370187561698,0.986426456071076,0.9881539980256664,0.9853158933859822,0.9877838104639685,0.9870434353405726,0.001038286474233116
4.620925617218018,0.1303052043685403,0.1073427677154541,0.011556947347216791,0.6260858000875549,0.9903662203772134,0.9123505864545567,0.03167088731400214,0.12363882795163242,21,68,1.7535600943121894,0.6866876934495569,0.6155803074069298,"{'colsample_bylevel': 0.6260858000875549, 'colsample_bynode': 0.9903662203772134, 'colsample_bytree': 0.9123505864545567, 'gamma': 0.03167088731400214, 'learning_rate': 0.12363882795163242, 'max_depth': 21, 'n_estimators': 68, 'reg_alpha': 1.7535600943121894, 'reg_lambda': 0.6866876934495569, 'subsample': 0.6155803074069298}",0.8563672260612043,0.8405725567620927,0.8450148075024679,0.8553800592300099,0.8568608094768015,0.8508390918065153,0.006734474985512557,135,0.9860562685093781,0.9856860809476802,0.9860562685093781,0.9856860809476802,0.9872902270483712,0.9861549851924976,0.0005912709057606667
2.6871798038482666,0.03382158551589025,0.05164380073547363,0.002626847538318437,0.763639742609219,0.7442154763439519,0.9277177809769003,1.1146950188474005,0.13365400463293742,48,119,1.6005738303853847,0.21330985329371788,0.7984158705538903,"{'colsample_bylevel': 0.763639742609219, 'colsample_bynode': 0.7442154763439519, 'colsample_bytree': 0.9277177809769003, 'gamma': 1.1146950188474005, 'learning_rate': 0.13365400463293742, 'max_depth': 48, 'n_estimators': 119, 'reg_alpha': 1.6005738303853847, 'reg_lambda': 0.21330985329371788, 'subsample': 0.7984158705538903}",0.8425468904244817,0.8321816386969397,0.8321816386969397,0.8464955577492597,0.8435340572556762,0.8393879565646593,0.006025762077801357,307,0.934106614017769,0.93571076011846,0.9358341559723593,0.937685093780849,0.9339832181638696,0.9354639684106614,0.0013539848691357748
